record_id,year,label_as_printed,tribe,in_gazetteer,marker,marked_tribe,x_px,y_px,lon,lat,gouvernorat,inside_tunisia,read_confidence
btv1b84389986,1881,Mekena,Mekena,1,Tribu des,1,2508,2498,8.909,37.001,Béja,1,high
btv1b84389986,1881,Nefsa,Nefza,1,Tribu des,1,2733,2440,9.113,37.043,Béja,1,high
btv1b84389986,1881,El Mogod,Mogod,1,,0,2820,2365,9.193,37.097,Bizerte,1,high
btv1b84389986,1881,Djeladjela,Djeladjela,1,Tribu des,1,2808,2523,9.181,36.984,Béja,1,high
btv1b84389986,1881,Kroumirs,Kroumirs,1,Territoire des,1,2417,2682,8.825,36.868,Jendouba,1,high
btv1b84389986,1881,Chehida,Chehida,1,Tribu des,1,2533,2807,8.929,36.779,Béja,1,high
btv1b84389986,1881,Zouagha,Zouagha,1,Tribu,1,2612,2916,9.0,36.701,Jendouba,1,high
btv1b84389986,1881,Hezil,Hezil,1,Tribu,1,3175,2420,9.514,37.058,Bizerte,1,high
btv1b84389986,1881,Makna,Makna,1,Tribu,1,3367,2420,9.688,37.059,Bizerte,1,high
btv1b84389986,1881,Trabelsi,Trabelsi,1,Tribu,1,3517,2615,9.822,36.919,Manubah,1,high
btv1b84389986,1881,Riah,Riah,1,Tribu,1,3238,2900,9.567,36.713,Béja,1,high
btv1b84389986,1881,Ghezoran,Ghezoran,1,Tribu,1,2358,2957,8.77,36.671,Jendouba,1,medium
btv1b84389986,1881,O. bou Salem,Ouled bou Salem,1,Tribu,1,2658,2985,9.041,36.651,Béja,1,high
btv1b84389986,1881,Ouled Ali,Ouled Ali,1,Tribu des,1,2275,2857,8.695,36.742,Jendouba,1,medium
btv1b84389986,1881,Beni Mazer,Beni Mtir,1,Tribu des,1,2255,2731,8.678,36.833,,0,medium
btv1b84389986,1881,Meressen,Meressen,1,Tribu,1,2067,2965,8.506,36.664,Jendouba,1,medium
btv1b84389986,1881,Ouchtata Khezara,Ouchtata,1,Tribu,1,2083,2980,8.521,36.653,Jendouba,1,high
btv1b84389986,1881,O. Soltan,Ouled Soltan,1,Tribu,1,2200,2993,8.627,36.644,Jendouba,1,high
